train_on,test_on,accuracy,auc,ap,precision,recall,mcc
flux_1_dev__vs__real,flux_1_dev__vs__real,0.9595,0.9896,0.9913,0.9665,0.952,0.9191
flux_1_dev__vs__real,flux_fill_flux_1_dev__vs__real,0.9535,0.9882,0.9897,0.9549,0.952,0.907
flux_1_dev__vs__real,flux_fill_real_rescaled__vs__real,0.901,0.9679,0.9701,0.8639,0.952,0.8062
flux_1_dev__vs__real,flux_fill_sd_3_5_large__vs__real,0.926,0.9725,0.9722,0.9049,0.952,0.8532
flux_1_dev__vs__real,sd_1_5__vs__real,0.886,0.9523,0.949,0.841,0.952,0.7788
flux_1_dev__vs__real,sd_3_5_large__vs__real,0.898,0.9602,0.9552,0.8592,0.952,0.8007
flux_1_dev__vs__real,sdxl_turbo__vs__real,0.8995,0.9658,0.9666,0.8615,0.952,0.8034
flux_1_dev__vs__real,z_image_turbo__vs__real,0.9585,0.9891,0.9904,0.9645,0.952,0.9171
flux_1_dev__vs__real,flux_fill_real_rescaled__vs__real_rescaled,0.5405,0.5616,0.5727,0.6063,0.231,0.1031
flux_1_dev__vs__real,flux_fill_flux_1_dev__vs__flux_1_dev,0.496,0.5003,0.5007,0.4512,0.037,-0.0202
flux_1_dev__vs__real,flux_fill_sd_3_5_large__vs__sd_3_5_large,0.5275,0.5366,0.5472,0.6078,0.155,0.0825
flux_1_dev__vs__real,flux_1_dev__vs__real_rescaled,0.599,0.7362,0.7509,0.875,0.231,0.2925
flux_1_dev__vs__real,flux_fill_flux_1_dev__vs__real_rescaled,0.593,0.7352,0.7417,0.837,0.231,0.2696
flux_1_dev__vs__real,flux_fill_sd_3_5_large__vs__real_rescaled,0.5655,0.6438,0.628,0.6979,0.231,0.1763
flux_1_dev__vs__real,sd_1_5__vs__real_rescaled,0.5255,0.514,0.5197,0.562,0.231,0.0631
flux_1_dev__vs__real,sd_3_5_large__vs__real_rescaled,0.5375,0.6088,0.5767,0.5969,0.231,0.0949
flux_1_dev__vs__real,sdxl_turbo__vs__real_rescaled,0.539,0.5641,0.5687,0.6016,0.231,0.099
flux_1_dev__vs__real,z_image_turbo__vs__real_rescaled,0.598,0.7396,0.7543,0.8684,0.231,0.2886
flux_fill_flux_1_dev__vs__real,flux_1_dev__vs__real,0.9495,0.9878,0.9898,0.942,0.958,0.8991
flux_fill_flux_1_dev__vs__real,flux_fill_flux_1_dev__vs__real,0.9495,0.9863,0.9876,0.942,0.958,0.8991
flux_fill_flux_1_dev__vs__real,flux_fill_real_rescaled__vs__real,0.8775,0.9625,0.9639,0.8252,0.958,0.765
flux_fill_flux_1_dev__vs__real,flux_fill_sd_3_5_large__vs__real,0.9155,0.9728,0.9732,0.8829,0.958,0.834
flux_fill_flux_1_dev__vs__real,sd_1_5__vs__real,0.8655,0.9444,0.9382,0.8084,0.958,0.7438
flux_fill_flux_1_dev__vs__real,sd_3_5_large__vs__real,0.882,0.9587,0.9554,0.8316,0.958,0.773
flux_fill_flux_1_dev__vs__real,sdxl_turbo__vs__real,0.8795,0.9638,0.9647,0.828,0.958,0.7685
flux_fill_flux_1_dev__vs__real,z_image_turbo__vs__real,0.9545,0.9878,0.9891,0.9513,0.958,0.909
flux_fill_flux_1_dev__vs__real,flux_fill_real_rescaled__vs__real_rescaled,0.5525,0.5666,0.573,0.6027,0.308,0.1204
